gene,Gene_id,tss,gene_end,Strand,chr,start,end,start_factor,end_factor,promoter_factor,promoter
APEX1,ENSG00000100823,20455191,20457772,1,chr14,20923245,20924651,-5,5,-200,20454991
APEX1,ENSG00000100823,20455191,20457772,1,chr14,20924722,20926027,-5,5,-200,20454991
APEX1,ENSG00000100823,20455191,20457772,1,chr14,20923245,20924651,-5,5,-200,20454991
APEX1,ENSG00000100823,20455191,20457772,1,chr14,20924722,20926027,-5,5,-200,20454991
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150782086,150784686,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150785553,150785914,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150786458,150786815,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150788640,150788982,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150789169,150790009,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150790301,150791017,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150795575,150795921,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150798924,150799193,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150801474,150801803,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150802285,150802958,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150803867,150804479,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150804715,150804975,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150806919,150807439,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150808661,150809075,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150811780,150812230,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150814805,150815044,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150818644,150818883,5,-5,200,150809913
ARNT,ENSG00000143437,150809713,150876708,-1,chr1,150825143,150825416,5,-5,200,150809913
